,text,scrape
650,"Spending on Facebook, Twitter and Google services FOI request reference: F0051533",0
635,Where to stay,0
534,Talks room,0
319,"Find information for federal, state, and local government agencies and elected officials.",1
125,Ministry of Corporate Affairs,1
723,"Office of Resident Commissioner (RCWB), West Bengal",0
100,गृह मंत्रालय और प्रवर्तन,1
123,Manipur State Information Technology Society,1
563,January 2014,0
223,पश्चिम बंग गो-संपद विकाश संस्था की वेबसाइट,1
303,Website of Darjeeling Himalayan Railway,1
713,Dams,0
110,Website of Ministry of Defence,1
647,Missing or lost documents (further to F0045848) FOI request reference: F0059356,0
422,Change Color,0
118,officers (army),1
128,Parliament,1
90,National Disaster Response Force and Civil Defence,1
331,prime minister's office,1
769,Chronicling America,0
9,Pension Fund Regulatory and Development Authority - External website that opens in a new window,1
708,Asia through a lens,0
729,INSET (sessions for teachers),0
399,Staff salaries FOI request reference: F0045983,0
61,Website of Department of Financial Services,1
690,‹,0
577,Research and statistics,0
525,Unit abbreviations used in the medal index cards,0
253,बाणसागर नियंत्रण बोर्ड की वेबसाइट देखें,1
666,Research and development in the Royal Navy,0
373,"Department for Culture, Media and Sport",1
469,HO 17,0
602,How to manage your information,0
442,छात्रों के विरोध प्रदर्शन मसले पर सुप्रीम कोर्ट का सुनवाई से इंकार,0
361,Family Welfare,1
478,How the Supreme Court Works Lesson Plan,0
210,British Olympic Association,1
157,Ministry of Tribal Affairs,1
464,Open access research from our staff,0
642,Federal Personnel Records and Employment Verification,0
238,भारत के मानव विज्ञान सर्वेक्षण की वेबसाइट,1
652,नेशनल क्वालिटी मॉनिटर करने के लिए दिशानिर्देश,0
617,Information of Mohandas Karamchand Gandhi,0
353,high court of admiralty,1
68,कृषि एवं सहकारिता विभाग द्वारा पौध संरक्षण योजना के बारे में जानकारी,1
237,Pension Fund Managers - External website that opens in a new window,1
74,Department of Posts - External website that opens in a new window,1
161,GOVERNMENT OF INDIA,1
674,Electronic records management,0
142,"अनुदान की मांग, पर्यावरण और वन मंत्रालय",1
661,Number of records registered as missing FOI request reference: F0047438,0
452,Alert level 2,0
213,Website of Department of Industries of Andhra Pradesh,1
196,Padma Awards,1
457,Stolen Documents FOI request reference: F0042138,0
155,ग्रामीण विकास मंत्रालय की वेबसाइट,1
629,Complaints Against the Government,0
416,caribbean,0
626,Building Atmanirbhar Bharat & Overcoming COVID-19,0
92,केन्द्रीय जल और विद्युत अनुसंधान केन्द्र,1
543,New Year,0
344,Information and Technology,1
120,"अनुदान की मांग, रसायन एवं पेट्रो-रसायन विभाग",1
768,Projects,0
544,Broadcasting,0
389,Women in uniform,1
355,Government Directory,1
289,PFMsExternal website that opens in a new window,1
283,National Informatics Centre (NIC),1
70,Defence Research and Development Organisation (DRDO),1
593,Military maps of the Second World War,0
111,Ministry of Panchayati Raj,1
715,"Maps for Family and Local History: the Records of the Tithe, Valuation Office Survey and National Farm Surveys of England and Wales, 1836–1943",0
618,Branches of the U.S. Government,0
570,IT Information FOI request reference: F0055809,0
739,How to File Your Federal Taxes,0
598,French muster rolls from the Battle of Trafalgar 1805,0
669,Driving,0
356,squadrons (royal air force),1
571,"What was life like on the Home Front during the Second World War? We look at preparations for war, the bombing of Britain, spies, the role of women and much more.",0
637,Foreclosure,0
691,Royal Navy ships’ voyages in log books,0
732,Children,0
72,राजस्व विभाग की आधिकारिक वेबसाइट,1
178,http://india.gov.in,1
485,Senior Civil Service Members’ correspondence FOI request reference: F0049631,0
386,Government Agencies and Elected Officials,1
7,royal flying corps,1
18,Advisory Council,1
726,business priorities for 2019–20,0
220,Royal Flying Corps officers,1
137,Website of South Central Zone Cultural Centre,1
514,Art & Culture,0
578,Financial support,0
462,Guidance and standards A-Z,0
550,"Government Actuary’s Department appraisal report 1870-2016 (PDF, 0.47MB)",0
681,Our Digital Strategy 2017-19,0
122,British Paralympic Association,1
364,Royal Courts of Justice,1
587,Takedown and reclosure policy,0
348,Digital India Awards,1
261,Embassy & Consulates,1
259,Ministry of Statistics & Programme Implementation,1
77,कृषि और सहकारिता मंत्रालय की वेबसाइट देखें,1
33,Farmers' Portal of India by Department of Agriculture and Cooperation,1
185,Who's Who,1
366,About the Government,1
622,Social Security Questions,0
38,Decide Who to Vote For,1
733,Principal Commodity wise Import,0
495,Close,0
475,British Army casualty lists 1939-1945,0
535,Natural Wonders,0
634,सेकेंडरी और हायर सेकेंडरी,0
704,केंद्रीय स्वास्थ्य सेवा के नव नियुक्त चिकित्साधिकारियों के लिए प्रशिक्षण कार्यक्रम,0
168,State Corrections Departments,1
83,Information about Support for International Patent Protection in Electronics & Information Technology (SIPEIT),1
374,officers merchant navy,1
30,Website of National Council of Science Museums,1
736,Media Corner Prime Minister,0
400,exempt from meeting the accessibility regulations,0
215,इलेक्ट्रॉनिकी और सूचना प्रौद्योगिकी मंत्रालय की वेबसाइट देखें,1
395,"If you already know medieval Latin, this online tutorial will help you learn to read the handwriting found in documents between 1086 and 1500.",0
440,Roads,0
692,"OSP60: Welsh Government 2006-2011 (PDF, 0.27MB)",0
614,17th and 18th century Burney Collection newspapers,0
297,प्रधानमंत्री जन-धन योजना की वेबसाइट देखें(पीएमजेडीवाय),1
228,indian army,1
445,loans for exhibitions application form,0
272,security service,1
177,पूर्ति और निपटान महानिदेशालय की वेबसाइट,1
531,lgbtq,0
76,Website of Department of Investment and Public Asset Management,1
486,Digital Careers Gov,0
479,Courts martial and desertion in the British Army 17th-20th centuries,0
381,government departments and agencies,1
700,research guide,0
749,Legal Deposit Libraries,0
248,ireland,1
147,The Olympic and Paralympic record,1
298,Haryana State Disaster Management Authority,1
508,Accessions to repositories,0
418,Citing records held at The National Archives,0
471,Accreditation Scheme by NIELIT,0
695,poor laws,0
88,भूमि संसाधन विभाग की वेबसाइट,1
132,President,1
779,ZJ 1,0
20,Navy,1
643,Skip to Content,0
685,Using materials from The National Archives,0
260,Lt. Governors & Administrators,1
724,non-Crown copyright,0
175,Website of the Central Industrial Security Force,1
273,civil servants,1
390,Essential services,1
588,"OSP3: Industrial policy 1974-1979 (PDF, 0.016MB)",0
305,"अनुदान की मांग, कौशल विकास और उद्यमिता मंत्रालय",1
64,Central Recordkeeping Agency (CRA) - External website that opens in a new window,1
589,Findmypast.co.uk,0
256,royal marines,1
65,रक्षा उत्पाद विभाग की वेबसाइट,1
309,राष्ट्रीय वनीकरण और पारिस्थितिकी विकास बोर्ड की वेबसाइट,1
716,"Explore our online resource about Domesday, with tasks and questions you can use in the",0
719,Petroleum & Natural Gas,0
264,Website of Ministry of Agriculture & Farmers Welfare,1
48,magistrates' courts,1
126,Ministry of Electronics & Information Technology,1
282,British military campaign and service medals,1
360,The Cabinet Room table,1
295,Coaches,1
334,Indian Army personnel,1
133,राष्ट्रीय हरित न्यायाधिकरण की वेबसाइट,1
150,Information on E-Governance development,1
153,Search Lok Sabha Members,1
145,सेना,1
163,Website of Hidayatullah National University of Law,1
197,About The Cabinet,1
255,हथकरघा निर्यात संवर्धन परिषद् की वेबसाइट देखें,1
689,Letters Patent,0
662,Water Tax Tiruchirappalli,0
465,मुख्य पृष्ठ,0
693,Enewsletter,0
41,Website of Ministry of Commerce and Industry,1
166,निवेश और लोक परिसंपत्ति प्रबंधन विभाग की वेबसाइट,1
762,Queens Printer Scotland Board and Management Team FOI request reference: F0042749,0
512,Other Backward Classes,0
459,State Consumer Protection Offices,0
676,land girls,0
620,Passports and International Travel,0
34,Names and email addresses for specific employees FOI request reference: F0049336,1
158,royal warrant holders,1
502,Researching African-Caribbean family history,0
245,Website of Central Pollution Control Board,1
605,Contacts,0
246,government employees,1
363,Councils,1
57,Website of Andhra Pradesh State Seeds Development Corporation,1
312,Information on Department of Economic Affairs,1
258,german foreign ministry,1
770,Find out more,0
555,जल संसाधन मंत्रालय के कार्यक्रमों और योजनाओं के बारे में जानकारी प्राप्त करें,0
663,ICT documents and strategy FOI request reference: F0042128,0
595,How we operate as a non-ministerial department,0
645,White papers,0
121,गोवा के जल संसाधन विभाग की वेबसाइट देखें,1
301,अन्नामलाई विश्वविद्यालय के समुद्री-विज्ञान संकाय के लिए एनविस केन्द्र,1
152,Param Vir Chakra (PVC),1
151,"Indo Tibetan Border Police Force Academy, Mussoorie, Uttarakhand",1
489,"OSP16: Probation records 1965-2001 (PDF, 0.31MB)",0
573,Rank abbreviations used in the medal index cards,0
16,Website of of Anna Institute of Management,1
167,Website of Centre for Cultural Resources and Training,1
752,Contract information relating to gas and electricity supply FOI request reference: F0046964,0
315,Governors,1
176,भारतीय वन्यजीव संस्थानकी वेबसाइट,1
592,भारतीय सेना में होने वाले भर्ती से संबंधित प्रपत्र डाउनलोड करें,0
350,royal navy,1
506,write to us,0
558,about the Hospital Records Database,0
513,Explaining Taxes to Kids Lesson Plan,0
583,How we spend public money,0
781,Community,0
434,HMT exceptions to cross-government moratoria on spending: Q3 October to December 2019 (Expenditure approvals),0
397,Español,0
164,संसद,1
200,List of Senior Information Risk Owners/Officers (SIROs) FOI request reference: F0042343,1
775,Check list of National Speed Post Centres,0
417,भारतीय वन्यजीव संस्थान की वार्षिक रिपोर्ट,0
73,Website of Centre for Marine Living Resources and Ecology,1
12,Ministry of Earth Sciences seminars application form,1
